name,url,acronym,description
James Madison Memorial Fellowship Foundation,http://www.jamesmadison.gov/data.json,,The James Madison Memorial Fellowship Foundation offers fellowship opportunities to individuals who are seeking a Master's degree in order to teach secondary students about the U.S. Constitution.
Job Corps,http://www.jobcorps.gov/data.json,,The Job Corps is an education and vocational training program that helps young people (ages 16 to 24) improve the quality of their lives through vocational and academic training.
Joint Fire Science Program,http://www.firescience.gov/data.json,,"The Joint Fire Science Program provides fire science information, resources and funding announcements for scientists, fire practitioners, and decision makers."
Medicaid and CHIP Payment and Access Commission,http://www.macpac.gov/data.json,,"The Medicaid and CHIP Payment and Access Commission reviews federal and state medicaid and CHIP policies and makes recommendations to Congress, the department of health and human services, and the states."
Millennium Challenge Corporation,http://www.mcc.gov/data.json,,The Millennium Challenge Corporation partners with the best-governed poor countries worldwide to promote economic growth and help people lift themselves out of poverty.
National Aeronautics and Space Administration (NASA),http://www.nasa.gov/data.json,NASA,"The National Aeronautics and Space Administration (NASA) explores, and conducts scientific research on Earth systems, the solar system, and the universe."
National Agricultural Statistics Service,http://www.nass.usda.gov/data.json,,The Agricultural Statistics Service studies and provides the market with detailed information about U.S. agriculture.
National Endowment for the Humanities,http://www.neh.gov/data.json,,"The National Endowment for the Humanities funds humanities programs in the United States such as museums, archives, libraries, colleges, universities, public television, radio stations, and individual scholars."
National Institute of Corrections,http://nicic.gov/data.json,,"The National Institute of Corrections gives training, technical assistance, and information services to federal, state, and local corrections facilities."
National Institute of Mental Health (NIMH),http://www.nimh.nih.gov/data.json,NIMH,"The National Institute of Mental Health conducts and supports research that seeks to understand, treat, and prevent mental illness. "
National Ocean Service,http://oceanservice.noaa.gov/data.json,,"The National Ocean Service provides data, tools, and services that support coastal economies and their contribution to the national economy. "
Open World Leadership Center,http://www.openworld.gov/data.json,,"The Open World Leadership Center administers the Open World program, a foreign exchange program that brings future leaders from former Soviet states to the U.S. to meet with members of congress."
Peace Corps,http://www.peacecorps.gov/data.json,,"Peace Corps volunteers travel to developing countries all over the world to assist with many ongoing efforts including AIDS education, business training, and information infrastructure development."
Postal Regulatory Commission,http://www.prc.gov/data.json,,"The Postal Regulatory Commission is responsible for oversight of the U.S. Postal Service, including oversight of rates and services, and ensuring the Postal Service meets all of its legal requirements."
Presidio Trust,http://www.presidio.gov/data.json,,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.
Railroad Retirement Board (RRB),http://www.rrb.gov/data.json,RRB,"The Railroad Retirement Board administers retirement, survivor, unemployment, and sickness benefits for U.S. railroad workers and their families."
Secret Service,http://www.secretservice.gov/data.json,,The Secret Service works to safeguard the nation's financial infrastructure. The Secret Service is also responsible for protecting national leaders and visiting heads of state.
Western Area Power Administration,https://www.wapa.gov/data.json,,The Western Area Power Administration markets hydroelectric power generated by federal dams and associated services to public entities in the Western United States.
